team,players
bsc young boys,"['Meschack Elia', 'Aurèle Amenda', 'Filip Ugrinic', 'Kastriot Imeri', 'Joel Mvuka', 'Darian Males', 'Mohamed Camara', 'Cheikh Niasse', 'Cedric Itten', 'Joël Monteiro', 'Ebrima Colley']"
red star belgrade,"['Osman Bukari', 'Kosta Nedeljkovic', 'Mirko Ivanic', 'In-beom Hwang', 'Peter Olayinka', 'Jean-Philippe Krasso', 'Aleksandar Dragovic', 'Cherif Ndiaye', 'Omri Glazer', 'Vladimir Lucic', 'Aleksandar Katai']"
fc copenhagen,"['Kamil Grabara', 'Scott McKenna', 'Roony Bardghji', 'Mohamed Elyounoussi', 'Viktor Claesson', 'Diogo Gonçalves', 'Elias Jelert', 'Denis Vavro', 'Birger Meling', 'Kevin Diks', 'Lukas Lerager']"
royal antwerp fc,"['Michel-Ange Balikwisha', 'Mandela Keita', 'George Ilenikhena', 'Vincent Janssen', 'Jean Butez', 'Soumaïla Coulibaly', 'Chidera Ejuke', 'Owen Wijndal', 'Jurgen Ekkelenkamp', 'Jelle Bataille', 'Eliot Matazo']"
celtic fc,"['Kyogo Furuhashi', 'Cameron Carter-Vickers', ""Matt O'Riley"", 'Reo Hatate', 'Callum McGregor', 'Alistair Johnston', 'Greg Taylor', 'Daizen Maeda', 'Luis Palma', 'Maik Nawrocki', 'Paulo Bernardo']"
shakhtar donetsk,"['Georgiy Sudakov', 'Mykola Matvienko', 'Marlon Gomes', 'Kevin', 'Artem Bondarenko', 'Danylo Sikan', 'Lassina Traoré', 'Oleksandr Zubkov', 'Valeriy Bondar', 'Dmytro Riznyk', 'Yukhym Konoplya']"
1.fc union berlin,"['Danilho Doekhi', 'Diogo Leite', 'Brenden Aaronson', 'Robin Gosens', 'Josip Juranovic', 'Rani Khedira', 'Aïssa Laïdouni', 'Alex Král', 'Lucas Tousart', 'Frederik Rönnow', 'Kevin Volland']"
galatasaray,"['Mauro Icardi', 'Davinson Sánchez', 'Kerem Aktürkoğlu', 'Lucas Torreira', 'Victor Nelsson', 'Wilfried Zaha', 'Tetê', 'Barış Alper Yılmaz', 'Tanguy Ndombélé', 'Abdülkerim Bardakcı', 'Hakim Ziyech']"
sc braga,"['Ricardo Horta', 'Simon Banza', 'Álvaro Djaló', 'Abel Ruiz', 'Víctor Gómez', 'Rodrigo Zalazar', 'Bruma', 'Matheus', 'Roger', 'Vitor Carvalho', 'Serdar Saatçı']"
rc lens,"['Elye Wahi', 'Kevin Danso', 'Facundo Medina', 'Brice Samba', 'Salis Abdul Samed', 'Andy Diouf', 'Przemyslaw Frankowski', 'Angelo Fulgini', 'David Pereira da Costa', 'Neil El Aynaoui', 'Ruben Aguilar']"
