team,players
austria,"Konrad Laimer, Kevin Danso, Marcel Sabitzer, Philipp Lienhart, Christoph Baumgartner, Patrick Wimmer, Nicolas Seiwald, Stefan Posch, Maximilian Wöber, Alexander Prass, Michael Gregoritsch"
australia,"Harry Souttar, Mathew Ryan, Patrick Yazbek, Jackson Irvine, Cameron Burgess, Connor Metcalfe, Joe Gauci, Sam Silvera, Kye Rowles, Nathaniel Atkinson, Keanu Baccus"
ukraine,"Oleksandr Zinchenko, Mykhaylo Mudryk, Artem Dovbyk, Viktor Tsygankov, Vitaliy Mykolenko, Ilya Zabarnyi, Anatoliy Trubin, Georgiy Sudakov, Mykola Matvienko, Andriy Lunin, Ruslan Malinovskyi"
denmark,"Rasmus Højlund, Joachim Andersen, Mathias Jensen, Morten Hjulmand, Pierre-Emile Højbjerg, Jonas Wind, Victor Nelsson, Victor Kristiansen, Joakim Maehle, Matt O'Riley, Kasper Dolberg"
south korea,"Min-jae Kim, Heung-min Son, Kang-in Lee, Hyun-seok Hong, In-beom Hwang, Woo-yeong Jeong, Gue-sung Cho, Jae-sung Lee, Young-woo Seol, Won-sang Um, Hyeon-woo Jo"
iran,"Sardar Azmoun, Mehdi Taremi, Alireza Jahanbakhsh, Mehdi Ghayedi, Allahyar Sayyadmanesh, Mohammad Mohebi, Saman Ghoddos, Hossein Kanaani, Ali Gholizadeh, Mehdi Torabi, Milad Mohammadi"
japan,"Takefusa Kubo, Hiroki Ito, Takumi Minamino, Ko Itakura, Ritsu Doan, Wataru Endo, Hidemasa Morita, Yukinari Sugawara, Keito Nakamura, Koki Machida, Ayase Ueda"
switzerland,"Manuel Akanji, Gregor Kobel, Denis Zakaria, Granit Xhaka, Noah Okafor, Zeki Amdouni, Breel Embolo, Fabian Schär, Nico Elvedi, Dan Ndoye, Fabian Rieder"
senegal,"Pape Matar Sarr, Nicolas Jackson, Sadio Mané, Ismaïla Sarr, Iliman Ndiaye, Habib Diarra, Moussa Niakhaté, Habib Diallo, Krépin Diatta, Kalidou Koulibaly, Edouard Mendy"
greece,"Vangelis Pavlidis, Konstantinos Mavropanos, Fotis Ioannidis, Odysseas Vlachodimos, Anastasios Bakasetas, Christos Tzolis, Anastasios Douvikas, Konstantinos Koulierakis, Georgios Masouras, Georgios Kyriakopoulos, Andreas Ndoj"
georgia,"Khvicha Kvaratskhelia, Giorgi Mamardashvili, Georges Mikautadze, Otar Kiteishvili, Giorgi Chakvetadze, Zuriko Davitashvili, Giorgi Gocholeishvili, Gabriel Sigua, Saba Lobjanidze, Giorgi Kvilitaia, Luka Lochoshvili"
kyrgyzstan,"Gulzhigit Alykulov, Valeriy Kichin, Tamirlan Kozubaev, Beknaz Almazbekov, Erzhan Tokotaev, Joel Kojo, Christian Brauzman, Atay Dzhumashev, Magamed Uzdenov, Eldiyar Zarypbekov, Erbol Atabaev"
malawi,"Jubril Okedina, John Banda, Stanley Sanudi, Denis Chembezi, Chimwemwe Idana, Francisco Madinga, Nickson Mwase, Lawrence Chaziya, Brighton Munthali, Tatenda Mbalaka, Blessings Mpokera"
dominican republic,"Junior Firpo, Brian López, César García, Noam Baumann, Heinz Mörschel, Luiyi de Lucas, Riki Alba, Luismi Quezada, Charbel Wehbe, Jean Carlos López, Guillermo de Peña"
montserrat,"Nico Gordon, Donervon Daniels, Jeriel Dorsett, Corrin Brooks-Meade, Alex Dyer, Craig Braham-Barrett, James Comley, Jamie Allen, Kaleem Simon, Bradley Woods-Garness, Dean Mason"
bahamas,"Lesly St. Fleur, Michael Butler, Christopher Rahming, Marcel Joseph, Ricardo McPhee, Jonathan Miller, Evelt Julmis, Peter Julmis, Brandon Adderley, Miguel Thompson, Nahum Johnson"
anguilla,"Kion Lee, Germain Hughes, Jonathan Guishard, Steve Austin, Tré Gumbs, Jermal Richardson, Kyle Lake-Bryan, Cadeem Rogers, Luke Paris, Jalen Smeins, Jauron Gayle"
united states virgin islands,"J.C. Mack, Jett Blaschka, Raejae Joseph, Rakeem Joseph, Zahmyre Harris, Quinn Farrell, Orion Mills, Jimson St. Louis, Joshua Ramos, Julius Brown, Joseph Whelan"
british virgin islands,"Jhon Samuel, Kristian Javier, Robert Green, Carson Price, Phillip Nelson, T'Sharne Gallimore, Tyler Forbes, Giovanni Grant, Miguel Marshall, Daniel Gilford, Justin Smith"
turks and caicos islands,"Billy Forbes, Wildens Delva, Mackenson Cadet, Christopher Louisy, Callum Park, Cory Williams, Raymond Burey, Kristen Howell, Karl Shand, Hency Gédéon, Peterson Saint Fleurant"
guam,"Travis Nicklaw, Jason Cunliffe, Marcus Lopez, Jonahan Romero, Isiah Lagutang, Eddie Na, Kyle Halehale, Jude Bischoff, Takumi Ito, Leon Morimoto, Ka’eo Gonsalves"
