name,full_name,overall_rating
L. Messi,Lionel Andrés Messi Cuccittini,94
C. Eriksen,Christian  Dannemann Eriksen,88
P. Pogba,Paul Pogba,88
L. Insigne,Lorenzo Insigne,88
K. Koulibaly,Kalidou Koulibaly,88
V. van Dijk,Virgil van Dijk,88
K. Mbappé,Kylian Mbappé,88
S. Agüero,Sergio Leonel Agüero del Castillo,89
M. Neuer,Manuel Neuer,89
E. Cavani,Edinson Roberto Cavani Gómez,89
Sergio Busquets,Sergio Busquets i Burgos,89
T. Courtois,Thibaut Courtois,89
M. ter Stegen,Marc-André ter Stegen,89
A. Griezmann,Antoine Griezmann,89
M. Salah,Mohamed  Salah Ghaly,89
P. Dybala,Paulo Bruno Exequiel Dybala,89
M. Škriniar,Milan Škriniar,86
Fernandinho,Fernando Luiz Rosa,87
G. Higuaín,Gonzalo Gerardo Higuaín,87
I. Rakitić,Ivan Rakitić,87
J. Vertonghen,Jan Vertonghen,87
D. Mertens,Dries Mertens,87
Marcelo,Marcelo Vieira da Silva Júnior,87
T. Alderweireld,Toby Alderweireld,87
Jordi Alba,Jordi Alba Ramos,87
Thiago,Thiago Alcântara do Nascimento,87
C. Immobile,Ciro Immobile,87
K. Navas,Keylor Navas,87
Isco,Francisco Román Alarcón Suárez,87
J. Rodríguez,James David Rodríguez Rubio,87
Casemiro,Carlos Henrique Venancio Casimiro,87
M. Icardi,Mauro Emanuel Icardi Rivero,87
Kepa,Kepa Arrizabalaga,84
H. Ziyech,Hakim Ziyech,84
Fabinho,Fábio Henrique Tavares,84
A. Martial,Anthony Martial,84
T. Werner,Timo Werner,84
N. Süle,Niklas Süle,84
Bruno Fernandes,Bruno Miguel Borges Fernandes,84
Alex Telles,Alex Nicolao Telles,84
J. Giménez,José María Giménez de Vargas,84
N. Fekir,Nabil Fekir,84
D. Sánchez,Davinson Sánchez,84
Marco Asensio,Marco Asensio Willemsen,84
O. Dembélé,Ousmane Dembélé,84
Iniesta,Andrés Iniesta Luján,85
Z. Ibrahimović,Zlatan Ibrahimović,85
Jorginho,Luiz Frello Filho Jorge,83
E. Višća,Edin Višća,83
S. Gnabry,Serge Gnabry,83
M. Kovačić,Mateo Kovačić,83
William Carvalho,William Silva de Carvalho,83
Felipe,Felipe Augusto de Almeida Monteiro,83
Y. Carrasco,Yannick Ferreira Carrasco,83
Lucas Vázquez,Lucas Vázquez Iglesias,83
Q. Promes,Quincy Anton Promes,83
L. Goretzka,Leon Goretzka,83
